Comments,Target
['I told my parents and they said that he was praising himself'],0
['Sick man'],1
['Trump youre fired'],1
['Let Obama say some shit like this'],1
['Ive known my father my whole life REALLY Wow what a stupid thing to say'],0
['This is more than a father and daughter  relationship'],0
['Yall saying thats sexist I just say its wrong to say that but I guess someone that says  my black friend is harder to spot in the dark would be a racist to you'],1
['Good Man'],0
['Makes sense hed win the Southern vote'],0
['Im not her father so is okay for me to think whatever I want '],0
['126 Im not going to lie as a Trump supporter that was awkward to say the least Ivanka is just a beautiful woman and Im sure he is proud not on a sick way I hope'],1
['He is such a sex obsessed pervertHe should be ashamed saying things like that especially about his daughterhe is  a Disgraceful excuse for a presidentand sick minded example for a father'],1
['Hes creepy and shes weird '],1
['This was are president honestly wtf'],1
['donald is seriously perverted'],1
['Sweet home alabama'],0
['Thats why donalt talks about sex with Ivanka because shes not his daughter  The real Donald Trump was killed in an accident in 1989 This guy is one of his four doubles His name is John Baron The real Trump would be 75 years old today  Does this man look like this '],1
['H O M E  S W E E T  A L A B A M A'],0
['tRUMP is a disgusting excuse for a human being'],1
['he said what now about his daughther'],0
['My parents voted for this dude'],0
['Omfg I feel bad for everyone of yall who live in America How tf do yall wake up everyday knowimg this dude is your president my gosh'],1
['Thats what Old parents do when their children are grown is it weird maybe a little in our eyes but what is it relatively harmless and just something you should forget about two minutes after upon hearing 20 years ago yeah'],0
['he is white its ok  he gets a pass'],1
['Dude when you think about your daughteryou shouldnt think sex'],1
['Ew Ew eeeeewww '],1
['I did not find ex President Trumps comment that his daughter is hot  disgusting But I met some people who thought this can be avoided in the media in India'],1
['Wow And people say Biden is the creep'],1
['beauty is in the eye of the beholder right lol lol lol'],0
['At no time did Trump say his daughter was  nice piece of xxx   Fake news once again even sick now '],1
['I believe he was sexually abusing her when she was young '],1
['I lived with sick families '],1
['I couldnt believe what I was seeing'],0
['What the actual fk is going on with this man'],1
['wa'],1
['Im sure Donald has already hit that'],0
['Something definitely unbalanced about the Donald'],1
['Ever heard of a joke or are you all just dumb'],1
